row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,bld_plt1_blk_02.mzML Peak area,bld_plt2_05_720_1.mzML Peak area,bld_plt2_04_120_1.mzML Peak area,bld_plt2_03_240_1.mzML Peak area,bld_plt1_10_120_1.mzML Peak area,bld_plt1_08_720_1.mzML Peak area,bld_plt1_07_600_1.mzML Peak area,bld_plt1_08_600_1.mzML Peak area,bld_plt1_07_120_1.mzML Peak area,bld_plt2_03_120_1.mzML Peak area,bld_plt1_07_240_1.mzML Peak area,bld_plt1_04_600_1.mzML Peak area,bld_plt1_08_240_1.mzML Peak area,bld_plt1_04_480_1.mzML Peak area,bld_plt1_04_240_1.mzML Peak area,bld_plt1_05_600_1.mzML Peak area,skin_01_0_FH.mzML Peak area,bld_plt2_blk_04.mzML Peak area,bld_plt2_10_480_1.mzML Peak area,bld_plt2_04_0_1.mzML Peak area,bld_plt2_07_0_1.mzML Peak area,bld_plt2_07_480_1.mzML Peak area,bld_plt2_05_0_1.mzML Peak area,bld_plt2_01_480_1.mzML Peak area,bld_plt2_07_720_1.mzML Peak area,bld_plt1_10_600_1.mzML Peak area,bld_plt1_05_240_1.mzML Peak area,bld_plt2_03_720_1.mzML Peak area,bld_plt1_05_480_1.mzML Peak area,bld_plt2_05_120_1.mzML Peak area,bld_plt1_10_0_1.mzML Peak area,bld_plt2_01_240_1.mzML Peak area,skin_blank_03.mzML Peak area,bld_plt2_08_480_1.mzML Peak area,bld_plt2_10_240_1.mzML Peak area,bld_plt2_08_120_1.mzML Peak area,bld_plt2_04_720_1.mzML Peak area,bld_plt2_08_0_1.mzML Peak area,skin_01_240_FH.mzML Peak area,skin_01_120_FH.mzML Peak area,skin_05_120_FH.mzML Peak area,skin_05_240_FH.mzML Peak area,skin_04_120_FH.mzML Peak area,skin_03_720_FH.mzML Peak area,skin_03_120_FH.mzML Peak area,skin_01_720_FH.mzML Peak area,skin_03_240_FH.mzML Peak area,skin_01_480_FH.mzML Peak area,bld_plt2_10_720_1.mzML Peak area,skin_07_120_FH.mzML Peak area,skin_07_0_FH.mzML Peak area,skin_03_600_FH.mzML Peak area,skin_04_720_FH.mzML Peak area,skin_04_240_FH.mzML Peak area,skin_blank_20.mzML Peak area,skin_03_0_FH.mzML Peak area,skin_01_600_FH.mzML Peak area,skin_03_480_FH.mzML Peak area,bld_plt1_03_0_1.mzML Peak area,bld_plt1_03_600_1.mzML Peak area,bld_plt1_03_480_1.mzML Peak area,bld_plt1_01_0_1.mzML Peak area,bld_plt1_01_600_1.mzML Peak area,bld_plt1_01_120_1.mzML Peak area,bld_plt1_01_720_1.mzML Peak area,skin_07_600_FH.mzML Peak area,skin_07_480_FH.mzML Peak area,skin_05_720_FH.mzML Peak area,skin_08_240_FH.mzML Peak area,skin_07_720_FH.mzML Peak area,skin_05_480_FH.mzML Peak area,skin_04_0_FH.mzML Peak area,skin_04_480_FH.mzML Peak area,skin_04_600_FH.mzML Peak area,skin_08_120_FH.mzML Peak area,skin_08_480_FH.mzML Peak area,skin_05_0_FH.mzML Peak area,skin_10_240_FH.mzML Peak area,skin_10_720_FH.mzML Peak area,skin_08_0_FH.mzML Peak area,skin_08_720_FH.mzML Peak area,skin_10_600_FH.mzML Peak area,skin_10_0_FH.mzML Peak area,skin_10_480_FH.mzML Peak area,skin_10_120_FH.mzML Peak area,skin_07_240_FH.mzML Peak area,skin_05_600_FH.mzML Peak area,skin_08_600_FH.mzML Peak area,
4512,593.3320025759747,3.4015853,,,,,,,,,,,0,0,556.96173,110.89379,3864.3047,232.40674,374.95343,2030.7554,111.91066,99.04343,1264.3607,481.41998,400.01666,1034.9458,1677.2115,0,0,0,7225.034,1601.0996,624.3326,385.80933,40.43292,429.56116,741.01056,6787.9043,0,497.61136,42.492897,15.451447,5905.0854,308.20273,0,1167.7562,7489.14,1038.3944,1486.0582,2587.813,997.3042,1360.2537,2268.6406,2028.4016,2225.3208,2569.7375,3920.1353,986.66516,2180.9104,2419.1023,7101.1836,539.60803,810.3597,3343.5872,3094.9282,2239.662,0,935.3589,2032.0643,2030.6882,128.33517,611.1814,328.01822,92.47764,580.6283,69.87225,196.38222,911.8937,1969.3491,4575.5166,1568.8186,1487.434,2412.7227,895.55554,1565.1162,1367.7063,1483.6863,1944.3495,2495.459,916.5175,929.5172,729.95886,3075.4128,1811.165,1408.3556,2193.523,1282.5693,1001.089,2654.516,1864.8547,
8008,593.3326493385988,4.44069,,,,,,,,,,,0,1153.2474,3005.0007,0,4392.8916,1048.1243,908.5211,2248.5876,763.40656,0,13507.386,4834.7334,347.40256,5103.883,7290.7314,4374.585,0,0,20179.87,4352.223,134.60292,1251.1292,1656.1166,3009.1072,1979.4507,22330.19,1267.6936,5272.5864,9853.697,944.6733,9837.354,1554.61,0,2304.2966,16649.465,2835.768,6374.647,8637.009,29152.553,18382.143,22358.152,30780.443,23892.877,21363.408,32648.643,19114.05,30057.955,22256.0,33093.105,12330.068,6795.431,52544.52,55047.527,24876.557,0,30131.174,17107.186,72653.41,281.31415,2749.0293,2831.4868,2348.4407,3705.635,1406.8489,4912.4653,25835.43,26087.201,42306.414,52751.53,25970.72,21838.795,12273.552,45370.934,27712.662,41004.547,16837.473,35586.05,38783.54,19881.541,21432.988,22736.396,48406.31,10061.253,21791.875,61218.168,31849.865,29711.607,20549.07,
11760,593.4073713044891,5.987628,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344.79865,299.1694,261.33572,0,1846.3147,555.18677,464.26294,24998.49,293.14502,39711.02,0,149.36475,0,0,437.0116,708.18066,0,0,60649.84,0,0,0,0,0,0,0,0,962.6122,329.059,272.66235,248.91505,928.5698,594.1056,1033.1511,426.56915,1160.0121,245.50995,558.5602,757.2759,892.66174,313.99072,0,298.36502,433.37204,0,595.4695,358.98608,261.59357,346.2647,0,
14740,593.442304420932,7.248247,,,,,,,,,,,119.23717,8.149836,91.13158,330.40854,51.256866,0,0,0,139.387,83.91118,0,0,236.97003,0,0,0,81.61325,37.763664,45.21441,0,0,0,0,0,15.546812,0,0,184.3434,0,813.9687,0,0,28.31009,73.238266,0,0,0,0,214.12819,385.4388,743.1171,396.48178,16.450806,425.9669,437.37537,567.7279,2665.763,967.18854,0,2452.834,271.86548,929.6759,98.5849,2062.1348,10.659122,4977.703,326.3419,688.2921,0,17.433378,0,14.645938,0,0,12119.617,7885.551,2064.8909,411.0182,456.80078,4862.169,1668.8888,50.342102,76.13655,239.42923,572.9363,1989.0743,2560.9905,51354.254,43308.53,510.86566,1024.3524,32165.348,38127.598,43892.797,54335.453,2343.2554,2112.4534,1244.287,
14688,593.477332167317,7.2153964,,,,302,,,,,,,0,0,0,0,13.145448,427.49127,1022.49835,3769.002,1383.4921,10067.653,1137.3386,5622.223,3866.0112,12674.833,2874.8174,25818.254,0,0,0,524.5152,3674.0872,1902.3674,22836.502,11076.752,2493.1973,2326.567,17407.89,23564.201,28415.506,34519.42,1181.2446,44369.715,0,8711.39,1610.2603,29791.143,42314.812,59081.043,0,0,0,0,0,0,0,0,0,0,42955.746,0,0,0,0,0,0,0,461.03137,0,2763.6887,1057.0016,729.0847,8957.7,9631.606,21410.812,1570.7397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14418,593.47809100066,7.0154333,,,,389,,,,,,,0,0,31.314909,0,437.7736,1094.5627,2202.4407,4017.7847,2024.684,11169.15,3094.8342,4401.1973,4674.727,11531.106,4718.9707,25699.225,0,0,0,1109.418,4186.357,3289.537,19029.553,8635.365,3583.3154,3718.9705,19243.834,29105.814,29327.857,38971.33,1982.698,48575.285,0,7912.8647,4459.199,26969.756,35992.703,33740.51,0,0,0,0,0,0,0,0,0,0,41509.445,0,0,0,0,0,0,0,0,0,9524.871,2304.1665,2105.7893,12410.3955,12743.105,15021.626,2786.5833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15124,593.9397096004052,7.5237164,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305.23245,526.98096,1221.9305,315.39362,860.17786,0,1153.5181,0,0,119.94124,7568.784,214.34422,1377.8547,3609.7295,0,15135.116,0,1226.8102,0,0,0,0,0,0,0,649.40765,169.30418,596.39594,847.8984,158.7385,535.031,8502.952,2176.728,2235.7236,1570.4161,901.7246,6402.64,0,0,242.28642,1398.205,0,0,0,0,894.8929,301.1977,14292.676,
5853,594.3677763572692,3.7765288,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23203.025,0,0,0,0,0,0,0,0,0,6839.9688,28623.805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61823.72,8831.498,9751.935,0,0,0,0,0,0,0,0,534.9768,0,0,0,0,0,
1986,594.369220534708,2.5914223,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.383333,0,0,0,0,0,0,45781.117,43637.53,0,0,0,0,0,159678.19,0,177917.67,0,499.81934,704.7217,0,0,0,0,0,254156.88,0,0,0,0,0,0,10.505466,15.305605,0,1147.9702,742.3135,0,0,0,0,0,0,0,0,2045.2642,0,0,0,0,0,0,0,0,1432.8315,0,0,
14558,594.4942136789051,7.1197643,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2743.719,14280.144,0,10245.319,0,0,51.29184,12.684736,6581.5366,0,0,0,71647.97,0,4219.6562,0,0,0,0,0,0,0,436.2058,68.51375,0,0,260.38803,111.70192,0,0,0,0,32.86968,273.922,8581.201,6022.745,0,0,6976.2295,23224.832,5946.639,6569.621,12.83074,40.78869,14.413998,
