ID1,ID2,EdgeType,Score,Annotation
11654,11657,MS1 annotation,3.000,[2M+2H]+2 [M+Na]+ dm/z=21.9824
11656,11657,MS1 annotation,3.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0265
11659,11661,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0266
11715,11717,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9559
11783,11796,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
11818,11824,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9551
11965,11974,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9556
12011,12124,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9830
12036,12124,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9561
12043,12044,MS1 annotation,2.000,[2M+2H]+2 [M+Na]+ dm/z=21.9821
12105,12112,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9559
12218,12243,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9821
12338,12339,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9560
12456,12464,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
12473,12495,MS1 annotation,3.000,[2M+2H]+2 [M+Na]+ dm/z=21.9818
12473,12490,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
12490,12495,MS1 annotation,3.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0265
12530,12580,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
12569,12571,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0254
12654,12661,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
12654,12661,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0266
12777,12780,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
12935,13063,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
12989,13123,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9826
13015,13020,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0262
13015,13020,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0262
13026,13105,MS1 annotation,2.000,[2M-2H2O+Na]+ [M+NH4]+ dm/z=188.1212
13056,13105,MS1 annotation,2.000,[2M+Na]+ [M+NH4]+ dm/z=206.1317
13070,13080,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9558
13074,13080,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0267
13111,13129,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0265
13245,13252,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0263
13247,13248,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9825
13247,13248,MS1 annotation,2.000,[M+Na]+ [2M+2H]+2 dm/z=21.9825
13263,13279,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9823
13290,13314,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0265
13312,13334,MS1 annotation,3.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9932
13330,13334,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9826
13540,13541,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
13651,13652,MS1 annotation,2.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9936
13877,13996,MS1 annotation,2.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9943
13913,13923,MS1 annotation,2.000,[M+Na]+ [M-2H2O+H]+ dm/z=58.0046
14015,14022,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0263
14015,14022,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0263
14074,14080,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0263
14098,14113,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
14146,14149,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
14381,14385,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9819
14381,14385,MS1 annotation,2.000,[M+Na]+ [2M+2H]+2 dm/z=21.9819
14382,14384,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9550
14602,14606,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9551
14752,14755,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
14819,14836,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9549
14819,14843,MS1 annotation,4.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9921
14836,14956,MS1 annotation,4.000,[M+H]+ [M+NH4]+ dm/z=17.0266
14836,14843,MS1 annotation,4.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0372
14845,14853,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9815
14864,14866,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9830
14965,14966,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9557
15089,15090,MS1 annotation,4.000,[M+H]+ [2M+Na]+ dm/z=320.2330
15089,15091,MS1 annotation,4.000,[M-H2O+H]+ [2M+Na]+ dm/z=338.2435
15089,15095,MS1 annotation,4.000,[M-2H2O+H]+ [2M+Na]+ dm/z=356.2541
15187,15188,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
15343,15344,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9820
15343,15344,MS1 annotation,2.000,[M+Na]+ [2M+2H]+2 dm/z=21.9820
