ID1,ID2,EdgeType,Score,Annotation
1601,1618,MS1 annotation,3.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9927
1601,1618,MS1 annotation,3.000,[M+Na]+ [2M-2H2O+2H]+2 dm/z=39.9927
1618,1626,MS1 annotation,3.000,[2M+2H]+2 [M+Na]+ dm/z=21.9821
1757,1766,MS1 annotation,2.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9936
1800,1809,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
1804,1809,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0265
1804,1809,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0265
1814,1821,MS1 annotation,6.000,[M+Na]+ [M+H]+ dm/z=21.9822
1814,1819,MS1 annotation,6.000,[M+NH4]+ [M+H]+ dm/z=17.0263
1814,1821,MS1 annotation,6.000,[M+Na]+ [2M+2H]+2 dm/z=21.9822
1814,1819,MS1 annotation,6.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0263
1818,1821,MS1 annotation,6.000,[M+Na]+ [2M-2H2O+K]+ dm/z=228.0784
1819,1823,MS1 annotation,6.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0366
1819,1836,MS1 annotation,6.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0475
1819,1821,MS1 annotation,6.000,[M+Na]+ [M+NH4]+ dm/z=4.9560
1821,1823,MS1 annotation,6.000,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.9925
1821,1836,MS1 annotation,6.000,[M-2H2O+H]+ [M+Na]+ dm/z=58.0034
1888,1903,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9817
1911,1916,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9824
1940,1941,MS1 annotation,2.000,[M-2H2O+H]+ [M+Na]+ dm/z=58.0032
2036,2039,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
2282,2306,MS1 annotation,2.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0373
2283,2297,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
2304,2328,MS1 annotation,3.000,[2M+2H]+2 [M+Na]+ dm/z=21.9828
2304,2318,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9562
2318,2328,MS1 annotation,3.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0266
2325,2329,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0264
2377,2397,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0266
2381,2405,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
2579,2583,MS1 annotation,2.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9930
2883,2886,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9551
3003,3012,MS1 annotation,3.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0266
3003,3013,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9564
3037,3041,MS1 annotation,4.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0373
3037,3050,MS1 annotation,4.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9924
3041,3042,MS1 annotation,4.000,[M+H]+ [M+NH4]+ dm/z=17.0273
3041,3050,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9552
3042,3050,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9825
3054,3061,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0258
3148,3174,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9558
3264,3302,MS1 annotation,3.000,[M-2H2O+H]+ [M+Na]+ dm/z=58.0040
3264,3285,MS1 annotation,3.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9938
3311,3316,MS1 annotation,2.000,[M-2H2O+H]+ [M+Na]+ dm/z=58.0036
3502,3505,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0265
3527,3571,MS1 annotation,2.000,[2M-H2O+K]+ [M+Na]+ dm/z=130.0420
3613,3617,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9820
3679,3718,MS1 annotation,2.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9936
3699,3702,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9819
3795,3797,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9819
3868,3891,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0265
3868,3891,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0265
4013,4033,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9561
4149,4251,MS1 annotation,2.000,[M-2H2O+H]+ [M+Na]+ dm/z=58.0031
