"","bld_plt1_01_0_1.mzML","bld_plt1_01_120_1.mzML","bld_plt1_01_600_1.mzML","bld_plt1_01_720_1.mzML","bld_plt1_03_0_1.mzML","bld_plt1_03_480_1.mzML","bld_plt1_03_600_1.mzML","bld_plt1_04_240_1.mzML","bld_plt1_04_480_1.mzML","bld_plt1_04_600_1.mzML","bld_plt1_05_240_1.mzML","bld_plt1_05_480_1.mzML","bld_plt1_05_600_1.mzML","bld_plt1_07_120_1.mzML","bld_plt1_07_240_1.mzML","bld_plt1_07_600_1.mzML","bld_plt1_08_240_1.mzML","bld_plt1_08_600_1.mzML","bld_plt1_08_720_1.mzML","bld_plt1_10_0_1.mzML","bld_plt1_10_120_1.mzML","bld_plt1_10_600_1.mzML","bld_plt2_01_240_1.mzML","bld_plt2_01_480_1.mzML","bld_plt2_03_120_1.mzML","bld_plt2_03_240_1.mzML","bld_plt2_03_720_1.mzML","bld_plt2_04_0_1.mzML","bld_plt2_04_120_1.mzML","bld_plt2_04_720_1.mzML","bld_plt2_05_0_1.mzML","bld_plt2_05_120_1.mzML","bld_plt2_05_720_1.mzML","bld_plt2_07_0_1.mzML","bld_plt2_07_480_1.mzML","bld_plt2_07_720_1.mzML","bld_plt2_08_0_1.mzML","bld_plt2_08_120_1.mzML","bld_plt2_08_480_1.mzML","bld_plt2_10_240_1.mzML","bld_plt2_10_480_1.mzML","bld_plt2_10_720_1.mzML","skin_01_0_UB.mzML","skin_01_120_UB.mzML","skin_01_240_UB.mzML","skin_01_480_UB.mzML","skin_01_600_UB.mzML","skin_01_720_UB.mzML","skin_03_0_UB.mzML","skin_03_120_UB.mzML","skin_03_240_UB.mzML","skin_03_480_UB.mzML","skin_03_600_UB.mzML","skin_03_720_UB.mzML","skin_04_0_UB.mzML","skin_04_120_UB.mzML","skin_04_240_UB.mzML","skin_04_480_UB.mzML","skin_04_600_UB.mzML","skin_04_720_UB.mzML","skin_05_0_UB.mzML","skin_05_120_UB.mzML","skin_05_240_UB.mzML","skin_05_480_UB.mzML","skin_05_600_UB.mzML","skin_05_720_UB.mzML","skin_07_0_UB.mzML","skin_07_120_UB.mzML","skin_07_240_UB.mzML","skin_07_480_UB.mzML","skin_07_600_UB.mzML","skin_07_720_UB.mzML","skin_08_0_UB.mzML","skin_08_120_UB.mzML","skin_08_240_UB.mzML","skin_08_480_UB.mzML","skin_08_600_UB.mzML","skin_08_720_UB.mzML","skin_10_0_UB.mzML","skin_10_120_UB.mzML","skin_10_240_UB.mzML","skin_10_480_UB.mzML","skin_10_600_UB.mzML","skin_10_720_UB.mzML"
"X9002_150.063_4.963",0,0,185.35068,57.32955,0,0,111.4226,0,0,496.61798,0,0,0,276.11902,88.203415,345.31912,962.82654,0,51.15745,428.45343,0,52.069206,0,0,95.95847,156.64075,0,0,0,0,0,0,42.259052,0,0,0,0,0,0,0,59.99539,0,2492579.5,2135370,2225949.8,2633025.5,1990888,2607208.2,2145513,2636820.2,2352653.8,2747242,3295263.8,3474941.2,2994954.2,2800022.8,2815758.2,3319799.8,3107892.8,3260104.5,2784440,2715684.5,2760397.2,2693364,3049029.2,2323238.8,1059784.4,1523733.6,1247237,1105355.5,1312427,1370618.4,1083294,1210520.8,963556.1,900854.3,866366.75,1015355.06,1442369.6,1360433.2,1315715.1,1142062.8,1215813.4,1320949
"X8808_150.596_4.822",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13985.539,2072.857,1364.2114,1253.2732,6596.7725,3297.5806
"X4094_151.039_3.305",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.25209,0,0,19.682175,0,0,0,0,0,16.045887,0,0,0,0,32.27134,0,0,0,0,24.084646,11994.25,14382.452,11464.943,20097.924,16938.297,17534.354,14913.523,27579.59,18463.504,22140.64,37808,35488.42,19041.059,15513.563,22859.652,31452.271,22022.854,6060.753,22717.262,25660.996,20124.492,26013.695,23139.672,23208.773,8228.722,17046.475,13343.875,13395.008,13087.835,13851.729,16671.133,19106.328,13201.847,12955.71,18610.682,5774.8384,18240.96,14023.813,13446.125,17954.543,18217.96,22974.564
"X2584_151.039_2.783",36.134975,17.66232,0,0,15.940716,19.650387,0,0,0,0,0,0,0,10.749745,29.205017,29.8143,0,0,0,97.048615,14.208349,8.797106,0,0,0,0,24.942394,22.3143,0,20.656221,0,18.443813,0,109.48512,45.01614,10.270117,36.462757,26.892628,38.58038,18.990797,0,30.62217,21188.936,26721.348,20601.002,30192.902,31430.074,26388.549,19642.354,28345.45,26896.477,40683.75,35868.945,33421.6,23333.043,30126.004,28730.402,31539.438,28040.465,30702.143,23228.973,23457.014,24553.133,32662.25,30002.33,29968.137,12411.189,27393.982,14832.032,22105.525,15795.103,26087.008,22207.186,25775.21,24133.291,17694.852,22098.752,22315.691,22034.436,23521.568,21772.814,24635.717,20636.242,22654.271
"X5788_151.075_3.796",32.806767,0,308.23676,616.0522,2447.5244,2509.1125,3567.6426,975.3107,821.51825,1250.8805,39.518333,588.95605,6729.161,2725.5916,1768.0383,2668.4897,3871.6963,6618.982,3674.6826,5097.639,3593.542,0,0,0,753.8376,1938.3303,47.00934,0,730.18884,0,805.932,437.2818,3384.9446,517.19714,0,2234.8276,764.8396,0,488.836,0,889.87695,0,1318.1875,1295.3885,2307.9548,1201.1926,2904.6987,1994.175,10427.205,18027.176,11767.998,17394.174,11391.851,18990.03,8363.571,3711.4722,5399.201,13905.803,3303.9907,10564.454,4720.455,3878.8364,5955.8765,9249.761,3399.6387,7554.1836,15416.69,20966.549,14812.078,16059.31,9832.281,12687.965,14171.489,11938.498,11755.282,9617.317,15605.134,8434.861,16707.125,14635.9795,17395.395,18458.53,13516.992,21439.904
"X5122_151.075_3.587",0,0,31.21204,0,0,0,0,0,0,17.069572,19.25359,15.743662,24.143856,0,0,0,77.50483,40.072914,0,0,0,0,0,0,0,9.649578,24.500134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7911.915,10747.851,6213.9204,7690.835,6599.7183,9204.11,19525.14,34598.094,27659.258,25951.156,30243.055,31429.477,19275.672,16462.9,26056.209,23766.738,14790.476,20994.145,24051.914,14653.16,18071.697,24126.748,21799.453,19399.52,15043.911,25147.78,16319.236,19353.887,14047.197,10893.263,17146.305,15126.69,15447.87,10175.541,15792.29,13162.513,19439.482,16783.209,17991.54,20361.857,16333.573,17985.172
"X598_151.075_1.534",0,0,0,15.91446,0,0,10.196079,0,10.430832,21.968994,11.778767,0,0,0,10.363476,0,21.348618,11.468349,0,14.038803,0,12.176339,0,0,19.92334,0,10.767186,0,0,0,0,0,0,0,0,0,7.88229,8.937214,0,0,0,0,31812.191,13530.526,2936.9749,7487.3086,33721.457,7580.1465,32265.705,76109,52930.98,12003.36,81828.164,85745.4,9988.576,10513.097,62846.727,35142.543,7090.774,63306.613,30764.979,55496.777,30282.053,64772.75,14685.334,49876.07,7093.1904,47778.465,31424.678,38090.953,14706.921,42342.086,13436.532,48418.39,7263.08,39167.12,47564.863,13991.499,56723.42,2887.657,4107.6133,57929.207,55112.2,31097.176
"X1334_151.075_2.335",14.550333,0,37.547142,44.600094,21.927462,0,0,0,0,12.334213,29.854816,14.73769,11.473076,11.312483,11.454168,28.154968,104.44122,31.66667,20.309563,84.09909,9.551134,11.1853485,24.364803,52.18043,0,0,11.85133,0,0,8.09951,11.225227,14.4105625,10.2831955,0,17.361813,10.572833,36.151703,12.591995,108.12924,0,14.825449,42.403896,36846.234,39556.01,36423.562,41043.3,40614.99,46243.367,64047.27,94011.63,74161.78,80734.305,94374.414,77959.51,62284.684,58845.902,62549.32,72479.195,73024.28,63799.715,54878.37,60540.156,61343.297,78671.77,60112.098,68243.516,46066.15,96203.6,59239.56,58696.03,55001.54,66860.22,54015.1,69221.92,54269.535,49898.07,60429.41,55155.566,71548.98,59005.58,55839.89,76608.54,65532.605,69950.45
"X649_151.075_1.623",0,0,0,11.752998,0,0,8.70871,0,0,21.238037,11.778767,9.275235,8.907824,0,0,0,15.18018,12.429897,10.83692,20.570583,0,12.176339,0,0,19.92334,0,0,0,0,0,0,0,0,0,0,0,7.88229,0,0,0,0,47.421787,4027.3704,2805.4128,4621.769,5108.6606,2074.6172,2533.843,5528.538,33426.72,17490.723,7254.4697,22212.951,35011.18,6493.191,8340.469,4696.4536,7982.4487,7446.3994,9970.382,15100.707,4943.37,7205.0117,11980.773,4559.224,6356.151,4023.8225,27905.518,3940.0435,20949.615,7845.2812,3142.1658,3069.7905,7896.1553,2138.473,4480.428,9889.944,6352.585,22350.094,2834.8516,4800.7793,9270.182,13025.226,14073.657
"X2884_151.075_2.864",56.376,33.01907,24.75143,36.064716,172.07106,71.28131,25.664616,163.29068,94.38586,199.38513,128.25859,263.28574,101.27318,159.62813,350.78888,160.19664,146.23462,213.26825,173.62247,82.88737,129.44983,115.35678,35.507374,13.269819,135.86688,181.67052,198.83774,177.2193,131.50084,137.46738,241.12196,361.1567,175.12682,243.17883,166.9168,201.41934,145.02087,387.89157,158.24113,184.69781,67.3839,74.61325,33808.918,16847.81,27014.281,20920.48,24750.209,18766.873,92744.48,63902.17,52742.1,89857.83,92997.72,108727.17,38256.78,69387.89,47918.883,62363.03,75615.28,50007.344,50678.17,81595.14,69451.695,48323.297,47910.953,58807.383,48443.414,79167.805,56056.18,81573.3,43708.266,83336.32,98987.414,65804.625,74487.73,62617.934,51633.082,55641.234,78191.94,83824.91,71871.08,90209.34,61500.09,69643.6
"X1001_151.075_2.135",14.736845,13.2714405,28.777088,144.12549,11.756111,23.52483,0,29.224464,17.825184,71.208534,11.355265,14.4556675,13.623186,13.024649,15.800201,10.403906,169.50964,40.868103,11.947496,20.974842,11.021046,63.882324,21.875359,13.079115,14.906883,0,37.552135,38.511436,0,32.397778,9.503424,11.914729,8.691104,21.852127,15.025188,9.813427,28.480194,44.78055,76.09648,36.282986,20.456505,11.558086,45510.277,49494.79,46885.754,52626.082,51811.37,53818.805,56857.383,73631.65,64224.926,68383.734,79083.4,69330.25,53711.258,51761.35,60716.516,70701.945,55761.61,62937.06,55045.574,55663.434,52188.36,67938.734,58008.973,56974.05,40971.645,66554.125,47627.62,48149.844,50067.027,57797.043,46229.043,53891.254,43997.242,43728.383,56071.465,49371.375,53709.34,47727.523,49903.465,59049.633,52573.473,54742.57
"X4286_151.075_3.347",25.574554,20.550776,135.08049,27.94802,52.852962,17.539906,27.63245,35.25197,28.95651,23.789076,232.97939,70.05849,13.846981,48.011906,29.318253,38.395718,444.2267,72.594574,9.286085,49.967987,21.833366,30.05804,151.88033,13.555639,11.036987,10.901953,154.23409,15.251593,10.023357,29.743519,14.679899,104.134705,10.042498,22.535091,32.462498,12.593544,43.966446,14.055849,40.910374,20.370083,124.17392,80.62955,11461.6,11829.139,8132.885,10709.718,12215.9375,9580.44,29348.908,41197.594,30335.82,42006.88,44407.72,36747.13,20678.982,28724.775,30098.578,26420.621,22806.064,22204.096,30664.23,23293.857,27829.988,33674.117,18387.053,24496.674,22159.354,42111.273,28315.434,41567.1,26231.617,35460.56,33316.426,25393.36,30228.66,17869.836,26451.322,22539.314,30871.377,31646.973,35156.96,36474.69,42279.527,36516.45
"X12087_151.097_6.245",419.40582,882.2135,364.29553,538.0392,207.9703,370.49472,898.53955,88.19445,496.9915,870.9433,107.09163,294.87595,919.94434,904.65247,557.72485,145.39304,1322.5974,590.56036,181.42685,483.4524,210.40598,379.05344,1082.7292,504.94806,459.69894,58.094593,708.7767,537.91345,249.51419,737.946,256.21298,920.33295,437.23035,637.9585,390.3112,203.00371,1639.2953,332.46045,1186.0333,368.70065,541.59467,1185.379,564.68695,821.70734,886.6592,1965.5338,1364.7728,1654.3853,31072.24,8551.455,20745.836,13857.739,28035.703,19136.986,23168.041,9614.483,3810.3613,4633.984,4622.217,3220.2075,19994.877,4893.1846,4981.311,5170.765,4430.207,2786.504,1103.1082,4077.4102,958.13574,4923.5,3160.3396,2832.419,3453.0393,12115.457,6006.88,9425.031,32904.55,13509.131,6213.272,3893.4805,3910.7192,4700.3335,8852.407,6014.425
"X11271_151.097_5.937",150.04224,509.6035,341.57288,443.40985,397.28522,321.53308,55.76361,209.20578,227.96086,618.10315,75.52346,39.898735,286.14905,352.76068,271.55304,289.00204,826.55444,366.46277,200.71425,47.315994,99.988754,94.27379,330.52094,438.34268,354.59613,411.83243,994.0418,66.71776,346.94446,168.50778,124.60214,269.02005,351.33398,100.202675,282.82935,99.737946,714.4921,801.83923,597.6992,245.1731,320.2932,628.39044,3588.035,5482.1763,4721.424,10547.945,8011.8438,7425.5615,50696.367,20618.586,33999.84,25835.547,38442.742,30789.59,47674.406,18296.525,10567.291,12278.329,9616.296,13739.236,35990.438,8825.419,10126.563,14593.291,3538.8135,5179.83,3904.2695,9433.426,5911.312,11654.876,6900.9326,8697.719,7223.4907,20070.355,9278.46,10311.193,41942.97,17781.88,34812.58,14973.605,14282.379,14543.738,24111.535,16487.902
"X10439_151.097_5.657",34.145897,96.65793,63.174248,99.41378,59.270584,143.53824,144.74442,41.96158,127.55055,117.389984,163.55138,118.85136,59.729904,87.161804,184.57532,71.020294,123.90202,90.545364,132.92148,264.0863,210.54568,20.82801,966.5019,52.936455,408.05447,136.22731,264.01624,142.71323,153.22408,33.99874,29.02937,250.66222,161.45667,19.135038,138.10503,28.000025,61.518227,91.20958,44.90339,220.36322,111.67149,392.5036,0,259.84515,241.63222,758.50476,0,305.73425,3816.8394,1286.6545,2433.5728,361.40237,4596.6675,799.28394,1932.9932,504.3689,1194.5934,522.43097,778.43066,357.57632,6363.034,0,414.92062,757.3539,1056.4705,1601.1283,32399.156,2051.7407,2707.1074,2778.962,237.31946,523.5808,854.7859,2100.4946,685.98285,927.3837,6720.997,2162.7622,6867.451,3424.1616,2163.6807,1846.3829,4863.71,3436.0188
"X12946_151.097_6.575",492.45273,663.0369,697.4102,898.05035,787.28015,293.88254,241.12483,376.75165,1003.1434,987.78046,245.55275,148.96663,590.3225,582.24994,222.85208,166.05228,559.7357,365.86124,279.2747,713.7395,435.8521,400.62036,762.40826,326.4664,912.50244,488.52304,820.6868,669.0335,94.64583,212.12418,143.4264,609.57227,766.59406,160.23015,223.71506,505.6669,2212.1606,994.5274,1100.8274,135.07393,1133.6694,464.19284,149.96089,1579.6238,738.93866,1358.3643,1020.4314,974.48505,10632.06,2344.9053,8303.732,6167.6553,9335.819,7291.1934,33074.754,15144.381,6539.3115,5099.9775,6025.0923,5697.848,15914.837,3697.1895,5035.398,3256.6074,3484.8784,1217.4745,2128.2424,1135.6488,2006.9974,1637.515,1781.4775,1784.1316,1417.3119,6106.3813,3795.997,3343.22,9559.904,9733.81,4276.857,2038.2545,2589.1152,1492.3743,6275.6157,3073.918
"X13490_151.097_6.863",234.89285,219.99898,669.13635,732.06976,265.46362,94.90127,345.98914,1346.9603,498.64645,258.75903,335.32446,297.73718,598.17206,124.31097,388.67746,272.95718,1353.1987,500.50793,344.39117,667.54675,527.6905,100.80563,612.0836,159.05441,641.7423,201.754,482.5674,172.47443,250.78394,144.71333,435.2956,679.0581,69.026245,847.2093,237.19092,339.87592,511.8499,607.61066,588.39154,162.48395,478.97925,752.3449,282.57016,822.71454,357.21304,1385.6152,444.81888,488.01242,3237.0554,2156.6997,3681.055,2212.01,3619.6104,3621.515,14544.2705,8976.167,3844.8425,1646.474,1548.2098,1484.6993,9703.312,1264.5582,1301.4652,3041.9624,492.2689,937.8127,1237.4427,457.59323,1154.1035,165.66975,1228.8599,719.36005,394.8661,2392.8208,2545.7642,1857.1478,2434.7625,2680.283,2048.4976,1306.1588,1960.2555,2394.1663,2295.012,1924.9451
"X6900_151.112_4.16",0,0,135.25024,0,0,0,0,0,0,10.892038,0,0,0,0,0,0,156.40639,25.321058,0,48.911087,32.458897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7492.3296,16832.959,6866.361,7284.4897,14960.494,17554.39,25067.135,35255.703,21098.824,20015.96,14505.835,19146.863,15133.185,19909.037,20020.678,17221.602,14082.557,27648.604,25923.107,15760.951,11442.364,15664.483,19785.482,27909.07,1897.6074,32927.91,19675.797,17419.574,17620.16,14702.805,16143.481,18771.553,13437.893,13843.291,9900.791,4768.921,14282.163,10807.186,10449.773,17267.21,12539.75,10258.523
"X8057_151.112_4.534",0,0,0,0,0,0,12.892309,0,0,0,0,0,0,0,0,0,40.523804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5104.1436,6746.9434,6649.3145,4180.786,9682.102,6551.129,18171.89,22475.422,21879.635,15716.789,12405.482,22925.236,5124.9316,24677.1,34427.46,25879.785,11707.185,13094.588,26227.324,26149.51,25162.613,34357.477,28034.215,11918.722,7125.7456,31730.701,10884.691,11737.293,19247.783,11363.602,26588.2,9921.1,7398.8076,5798.3735,21944.926,6331.2983,9888.87,10583.798,9992.989,25369.402,11970.369,29060.639
"X5278_151.112_3.565",0,68.13488,124.737495,236.44812,14.951889,47.64756,129.0305,46.4719,64.77927,162.17586,38.586258,159.60362,39.97223,16.17175,86.851906,143.10219,286.90356,148.97565,37.41529,42.332367,27.128674,304.0171,22.831148,72.75597,11.596672,12.162197,91.4312,41.69874,15.673922,77.9135,26.256454,36.312607,14.588484,42.39231,160.2395,27.215298,366.06744,109.04655,55.253204,57.72293,182.98192,245.15765,11336.565,11303.324,12409.809,15770.433,20807.936,16718.37,33231.953,40890.28,40768.105,33510.816,35818.418,35424.62,28273.219,24642.955,27749.363,42480.31,23187.361,23013.82,21173.596,21878.836,18843.33,37645.152,45800.234,46408.566,22859.508,41893.1,25278.912,23565.773,24455.473,25157.418,18338.598,18686.787,19198.508,15075.27,25905.686,19744.62,42122.676,20508.016,72910.664,26495.512,23654.156,22822.33
"X1813_151.112_2.547",0,10.179701,93.18184,148.30588,40.23078,0,0,19.787779,67.839264,119.46481,43.852516,92.60825,112.59848,41.802246,244.98514,212.86989,38.288437,107.22389,81.96145,70.02963,18.916643,21.922083,0,10.908345,0,0,38.090775,0,19.679092,142.51004,17.023155,12.4095,13.31024,14.585758,48.81287,87.85826,33.986214,24.508286,53.487247,10.301342,0,59.241653,32687.531,38919.938,17076.479,38494.094,39360.703,33149.13,58797.04,88107.47,71189.055,90980.3,73926.63,84209.63,60197.156,49281.9,59899.44,64093.605,33776.51,45828.527,53831.57,57325.844,57941.715,68946.57,57120.633,67383.75,35132.113,68850.84,47730.824,50479.016,37431.89,71599.984,62740.105,52865.777,37876.81,34947.633,44078.812,27861.04,62706.51,50032.355,49713.574,82551.51,61535.434,92531.12
"X2607_151.112_2.801",18.947027,21.508396,200.33836,47.568607,0,231.32314,122.99431,58.15306,99.745285,116.92449,336.6419,51.795525,119.158646,11.3188,13.151782,44.9459,302.21228,188.87308,369.73288,28.357788,59.00916,93.256546,229.09702,132.68974,35.089264,650.19073,59.546227,13.437523,32.15088,97.04059,29.482271,151.76045,10.567762,51.743267,193.37102,15.000607,105.68695,26.963186,372.50842,257.62936,59.01239,151.19789,37961.293,30009.926,53659.473,32493.996,45976.914,39575.535,56445.754,84311.05,75554.58,63952.535,85657.766,82632.29,41694.168,57521.496,58073.473,70122.88,99295.305,62772.31,47232.543,59518.074,56287.3,66152.516,51525.83,65488.953,32676.527,76013.086,45697.773,42902.4,39984.734,52909.72,42296.664,42196.56,41517.707,36178.832,50425.234,40208.29,51270.48,49232.99,34460.76,44276.57,41520.84,44493.71
"X14744_152.007_8.718",147.09787,658.8594,67.788704,450.076,129.84682,105.58809,531.90686,244.68317,512.24286,326.36044,1042.8835,11321.151,338.9008,129.79352,226.23975,953.93304,741.97833,328.50845,323.4844,312.87283,409.90643,124.13008,28999.412,336.50192,299.99515,568.9579,1331.1046,198.38759,411.34872,2622.2688,499.23297,596.52155,142.09698,535.3443,77.245094,169.35248,9299.164,691.5445,155.06711,426.08545,450.5513,79531.03,855.66724,587.4857,345.28653,112.928955,1009.5953,558.898,539.4303,660.85675,2089.2063,323.91446,417.29706,494.6241,270.81628,784.04755,373.35757,353.22437,216.28363,393.21808,217.72348,1013.17944,259.55313,650.3845,857.77673,446.00314,709.48987,599.3334,1953.6486,219.63649,943.3035,1083.4492,1261.5447,362.68747,509.87195,1041.7963,436.4361,383.57266,175.04506,1001.5589,492.11542,456.43176,334.50443,547.15454
"X316_152.071_0.739",0,0,0,0,22.992039,0,0,0,0,19.645252,0,0,0,181.39941,0,53.368095,18.271639,0,0,0,0,0,94.48207,35.26495,25.454378,10.899918,326.88464,19.79418,11.065842,0,20.61824,10.191141,0,785.00635,756.6401,601.4515,56.44665,57.07462,0,12.856453,18.586784,121.37789,118.92833,450.81104,384.93527,117.63902,577.03326,113.93393,314.74146,867.41547,400.27393,212.94423,722.7557,517.1589,72.24415,230.41309,535.4893,553.2014,244.46375,189.09634,395.06586,128.80702,94.78264,335.99313,39.841953,149.83188,6677.2046,26772.88,3621.2727,22460.578,2964.6655,3772.3076,86.296745,341.01642,529.38495,198.4378,178.5159,106.35124,230.58282,323.19678,212.57433,475.82693,198.2233,401.67938
"X1640_152.107_2.47",0,0,1414.1516,4402.3867,0,0,0,0,58.688774,0,0,0,0,0,0,343.06024,1428.0785,3185.1057,1850.2671,634.74286,556.10864,153.85184,1805.1533,3129.8855,0,0,0,0,0,0,0,0,934.3373,0,1315.6621,0,1612.3495,686.28143,3675.9082,959.28687,80.038864,537.7835,0,0,0,0,0,0,0,715.02826,0,0,0,0,0,0,368.13385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X815_153.055_2.005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.368603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6136.6396,26290.951,12621.269,12711.949,9738.713,7677.4346,40031.15,28211.756,36428.758,36489.82,30894.047,11579.578,33400.086,38073.688,12560.649,11578.288,21112.709,30005.992,13097.719,47023.523,37660.375,54366.11,10898.169,19157.422,26781.537,40664.727,15839.687,32360.545,7036.2227,10072.455,33974.12,6902.588,21569.672,35881.117,26412.86,13808.57,3537.053,4452.9,9074.677,17801.076,28236.049,35328.406
"X1032_153.055_2.147",0,0,0,0,0,0,0,0,0,8.818819,0,0,0,0,0,0,12.080757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42455.105,53678.637,37324.867,14848.883,54691.773,56247.33,13396.836,85894.8,15507.31,73662.9,89237.5,76268.43,12696.676,11244.232,61805.547,79531.2,59514.4,60155.03,62139.117,15006.85,14187.299,21599.07,61344.215,70363.23,8436.977,31376.197,42321.477,21452.207,43104.734,55261.727,12044.482,65193.06,18280.703,15132.203,35796.324,47391.215,54321.31,40437.746,42618.137,52457.355,55758.887,12440.973
"X1443_153.055_2.405",1969.0164,1553.7668,1779.4105,6759.921,2158.0034,984.4234,1769.5518,2849.858,3377.0044,2544.2034,7959.8096,4603.0864,7422.992,2054.3972,4532.6772,2943.796,7527.5596,3119.323,1886.1133,9840.2705,1318.5583,2283.1257,3200.4268,2226.172,3716.6663,404.04156,10001.295,1478.9722,1323.712,2478.628,3718.8384,5910.8633,1690.2046,1894.5764,1250.4557,1934.415,5301.5474,2966.5708,7282.9097,2372.8398,1884.9117,6399.1235,215427.28,239343.08,211895.52,212281.88,229911.81,234380.27,326795.72,513704.56,399397.38,423535.22,446750.3,491483.12,291776.53,276847.06,340093.8,414289.66,279494.25,287496.25,296495.47,338092.72,321642,427878.38,298009.44,386511.44,241442.62,334855.8,250068.6,238230.22,221293.39,260121.38,304980.44,242067.94,219860.52,176277.19,204116.78,79007.77,385972.28,319555.03,328604.12,406057.97,366216.62,421330.47
"X3134_153.055_3.023",216.10654,210.8033,322.1249,398.50806,167.53708,287.89874,292.1777,392.95224,612.20526,173.35378,231.71497,636.08344,205.87764,357.7633,434.41562,365.9664,369.5251,358.2546,855.3278,328.70462,254.46646,264.57187,620.12933,245.96419,188.62013,1263.2775,568.3997,288.6742,294.67322,469.8368,124.82751,745.89685,694.8265,260.03082,102.8922,301.46188,419.98636,223.11859,611.7993,159.01115,194.72531,855.21814,3337.486,3734.3914,767.62683,6273.301,2438.2502,2756.6519,1111.9551,13798.362,2834.4167,4494.4946,6396.0283,5570.1123,2165.1035,940.29285,2306.1003,4803.739,950.62256,2440.5796,1873.8491,3602.126,3184.6782,2388.5623,2006.2834,8428.005,608027.25,2690.1733,820.3928,1029.4891,716.26843,3988.0789,5534.223,6044.361,888.54706,1220.1241,1970.5421,2649.1736,1218.7236,2462.8892,3673.7812,2366.2925,2866.6353,2885.899
"X6423_153.091_4.01",0,0,773.01575,697.85815,191.95738,250.22598,188.22258,103.56026,70.10021,308.34567,0,0,369.9668,181.9125,60.94494,45.505814,1028.0748,407.4342,47.78675,1123.1638,174.15317,0,0,0,74.702675,0,0,0,0,0,0,381.6911,0,0,0,0,0,0,118.444695,34.64024,85.81955,0,80162.5,96261.49,83301.695,90107.43,77512.12,97547.44,246320.75,264172.78,236247.5,260954.97,197582,240263.25,248473.28,176265.14,198877.4,267494.53,190728.2,187635.45,170284.38,215256.31,176947.95,180888.19,176028.56,195482.77,109813.945,284525.6,130612.766,187815.7,110318.12,172264.38,167566.23,157008.77,90413.15,75043.9,110164.25,91383.17,163858.8,155789.75,159311.72,107952.555,116051.445,113886.06
"X795_153.091_2.017",12.55533,11.838547,41.857773,64.62272,35.893158,10.353193,25.319916,41.3371,14.248578,29.606281,83.545616,50.682457,13.370552,17.576107,25.477077,13.564299,262.36627,12.959986,32.400833,19.077166,14.243684,14.6436205,12.216684,40.864395,12.749048,14.485489,26.863937,10.981266,12.190918,21.431713,10.836727,12.418272,10.148277,17.672735,13.363368,11.122054,14.25875,13.045062,20.33384,14.157787,26.556726,30.173553,16706.016,14876.634,12958.18,22739.955,26956.906,18056.746,12753.262,56148.19,34798.105,55536.9,45551.43,44635.35,31083.477,12754.336,26993.537,49313.3,21648.883,38008.312,30208.012,37946.355,39776.195,36969.344,8424.663,28289.834,9839.077,34829.6,26105.77,30331.271,17512.19,23427.684,15071.137,7721.7227,22958.598,16380.335,28121.17,17209.799,27625.512,27135.73,9840.283,35867.484,30258.943,22878.795
"X5350_153.091_3.656",0,47.3049,244.33618,226.23877,0,31.258766,103.03196,58.997482,36.796215,80.4171,342.66278,130.67159,231.30666,96.08499,66.64642,25.209707,489.3094,70.89649,27.929914,359.35504,57.725098,0,195.28915,0,18.183012,12.444767,144.85321,44.849586,13.5316305,0,15.970079,107.292404,40.49841,34.30009,18.090357,0,103.60535,26.938549,139.0347,14.162891,12.211109,128.30084,43088.8,68336.54,52136.273,69392.53,60761.16,73573.77,113899.266,70857.086,119555.414,147627.05,152159.25,129439.29,110067.26,40517.4,53437.363,108375.03,115332.43,124516.195,34166.09,29919.916,28781.258,36120.188,75269.625,99895.09,16973.734,36932.68,22737.436,27816.648,24308.545,73377.82,24415.979,29265.508,28846.344,18289.984,65020.258,36365.047,11299.4795,34386.75,30999.412,29060.824,31149.21,20862.44
