"","bld_plt1_01_0_1.mzML","bld_plt1_01_120_1.mzML","bld_plt1_01_600_1.mzML","bld_plt1_01_720_1.mzML","bld_plt1_03_0_1.mzML","bld_plt1_03_480_1.mzML","bld_plt1_03_600_1.mzML","bld_plt1_04_240_1.mzML","bld_plt1_04_480_1.mzML","bld_plt1_04_600_1.mzML","bld_plt1_05_240_1.mzML","bld_plt1_05_480_1.mzML","bld_plt1_05_600_1.mzML","bld_plt1_07_120_1.mzML","bld_plt1_07_240_1.mzML","bld_plt1_07_600_1.mzML","bld_plt1_08_240_1.mzML","bld_plt1_08_600_1.mzML","bld_plt1_08_720_1.mzML","bld_plt1_10_0_1.mzML","bld_plt1_10_120_1.mzML","bld_plt1_10_600_1.mzML","bld_plt2_01_240_1.mzML","bld_plt2_01_480_1.mzML","bld_plt2_03_120_1.mzML","bld_plt2_03_240_1.mzML","bld_plt2_03_720_1.mzML","bld_plt2_04_0_1.mzML","bld_plt2_04_120_1.mzML","bld_plt2_04_720_1.mzML","bld_plt2_05_0_1.mzML","bld_plt2_05_120_1.mzML","bld_plt2_05_720_1.mzML","bld_plt2_07_0_1.mzML","bld_plt2_07_480_1.mzML","bld_plt2_07_720_1.mzML","bld_plt2_08_0_1.mzML","bld_plt2_08_120_1.mzML","bld_plt2_08_480_1.mzML","bld_plt2_10_240_1.mzML","bld_plt2_10_480_1.mzML","bld_plt2_10_720_1.mzML","skin_01_0_UB.mzML","skin_01_120_UB.mzML","skin_01_240_UB.mzML","skin_01_480_UB.mzML","skin_01_600_UB.mzML","skin_01_720_UB.mzML","skin_03_0_UB.mzML","skin_03_120_UB.mzML","skin_03_240_UB.mzML","skin_03_480_UB.mzML","skin_03_600_UB.mzML","skin_03_720_UB.mzML","skin_04_0_UB.mzML","skin_04_120_UB.mzML","skin_04_240_UB.mzML","skin_04_480_UB.mzML","skin_04_600_UB.mzML","skin_04_720_UB.mzML","skin_05_0_UB.mzML","skin_05_120_UB.mzML","skin_05_240_UB.mzML","skin_05_480_UB.mzML","skin_05_600_UB.mzML","skin_05_720_UB.mzML","skin_07_0_UB.mzML","skin_07_120_UB.mzML","skin_07_240_UB.mzML","skin_07_480_UB.mzML","skin_07_600_UB.mzML","skin_07_720_UB.mzML","skin_08_0_UB.mzML","skin_08_120_UB.mzML","skin_08_240_UB.mzML","skin_08_480_UB.mzML","skin_08_600_UB.mzML","skin_08_720_UB.mzML","skin_10_0_UB.mzML","skin_10_120_UB.mzML","skin_10_240_UB.mzML","skin_10_480_UB.mzML","skin_10_600_UB.mzML","skin_10_720_UB.mzML"
"X5776_325.201_3.799",72.5278,0,232.11934,134.66975,26.096184,33.86302,49.74114,50.15659,75.07458,55.558342,51.793438,0,87.59442,67.76851,32.48217,16.69039,184.57642,71.74412,61.823128,351.46307,93.485954,0,17.077147,0,0,21.471865,50.07341,0,31.282354,0,0,76.43859,0,0,18.61908,0,0,0,35.16752,0,0,0,30962.664,13738.502,23187.309,29935.262,19178.06,44315.45,14178.64,68154.46,270575.16,27722.723,52637.89,36518.94,11591.235,44486.918,50955.05,63083.81,19449.582,21473.262,20130.17,42589.363,54683.938,68456.66,44432.562,69241.375,12617.802,65447.555,50133.16,40026.133,42176.504,33809.65,48048.965,47147.42,24794.518,11593.245,16835.33,17175.697,16244.458,8191.442,20607.74,11956.038,19960.67,49465.727
"X4586_325.201_3.422",23.465685,14.123081,96.65139,77.248795,27.498692,26.668804,11.721659,55.476227,58.31242,15.800004,34.357693,61.786697,99.93181,33.956135,31.244452,13.283428,58.741493,13.476759,25.2347,73.26325,43.751755,28.25689,44.626686,45.087128,19.358906,18.85199,77.89039,31.613865,11.973235,16.79854,17.030561,87.4407,23.195892,13.39624,17.457453,36.79559,205.98097,24.91397,15.365921,23.805126,18.666594,34.079567,71056.75,42943.957,57742.92,67140.12,79536.51,76032.305,54902.984,148483.16,65345.363,24556.723,143450.86,123772.21,93084.9,61467.816,105551.766,131785.1,105851.73,108371.3,108961.05,103889.85,51441.805,132312.84,102291.34,115701.46,69991.81,64220.3,63718.195,39659.387,79431.66,106210.125,45183.76,212611.16,27323.844,205591.56,48384.176,43527.547,46010.56,195325.39,75696.9,42126.348,92834.7,98683.555
"X8931_325.201_4.878",0,27.088474,40.5846,50.282547,0,15.221319,0,203.86864,25.258862,24.12239,0,45.768436,157.10062,31.468681,22.659016,10.760268,27.882538,168.37157,30.336933,148.41457,71.04753,0,42.825954,0,0,0,29.442583,0,175.83405,0,164.12154,224.27899,0,0,0,0,164.14787,76.91795,107.24026,0,29.746403,63.042015,14289.007,18206.512,8495.385,13920.616,15224.439,12471.105,17569.334,54136.26,20872.145,32422.68,36311.562,18363.367,26171.322,15704.158,20578.955,30657.15,17965.057,53259.383,14858.564,20546.71,13473.855,60407.375,21931.422,18227.527,9108.703,18938.861,18136.492,15590.208,15854.326,20677.826,20506.73,24711.365,11820.277,12436.23,50861.41,13335.675,4358.058,33710.426,14515.706,16070.173,13930.707,16382.177
"X9369_325.201_5.108",5451.557,1994.7524,6869.5103,11492.097,2704.3726,9729.717,2559.8713,1218.9008,3801.786,8719.4,3103.5085,2170.1516,5468.7886,2991.5952,7968.266,4472.982,8195.142,744.3356,4787.3286,4552.9233,487.16104,1032.8011,3166.3545,6670.854,3917.5808,2362.6672,7107.814,8209.377,2638.8884,11655.498,5705.3374,11314.018,2282.3245,1394.8191,3523.0496,4098.8677,2632.3162,16549.074,6362.053,4376.0093,2536.8018,5948.385,3471.6494,7384.6763,1256.9948,3706.1885,5689.199,3840.788,3773.4492,5432.1245,11654.033,16999.426,19002.242,19199.637,15986.15,7185.492,15035.592,16554.455,10651.441,6822.3174,4085.4238,5441.1924,6947.799,14388.423,4935.0083,7508.803,1471.581,8428.726,6938.326,5837.3496,3967.1714,8062.1064,5043.0635,2653.9734,3101.3662,3317.7046,5566.106,3435.0889,9277.591,3900.9172,7235.667,3800.5854,5461.5723,7540.266
"X5003_325.228_3.556",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.09359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25769.645,7701.4053,5446.48,18098.521,58675.82,49020.18
"X10959_325.237_5.838",0,0,0,0,0,19.543013,0,0,0,0,24.249245,0,37.30259,0,0,0,100.49878,0,0,0,0,0,0,10.302498,35.420357,0,21.857193,0,0,0,15.664794,48.391975,15.370343,49.347298,0,0,0,0,15.98982,0,0,15.924805,1661.5166,2546.1597,3696.5308,2471.7043,21579.645,7370.392,33862.965,42534.766,58450.855,30352.293,48875.445,41378.812,16088.175,9625.033,13095.57,13630.047,6056.63,22782.88,12065.317,12693.6,8326.349,10479.503,6793.6924,6612.568,2476.7712,6075.7373,4276.706,13303.918,6090.8145,9691.9,6227.2275,5269.8296,2165.932,4822.1743,6255.659,6745.5957,1038.8745,596.0141,1403.318,1908.051,620.752,2330.6157
"X9701_325.237_5.281",1227.6626,1395.1537,398.1001,2379.6633,994.7899,815.80634,218.33627,580.44684,1630.2382,1326.7755,469.66754,224.9159,720.61975,857.8735,651.79193,789.5363,252.94672,574.05865,360.10114,772.68744,408.79565,555.0862,1006.52747,1112.4675,1375.109,180.71066,1122.3667,1146.9302,717.90765,810.63586,1181.1292,853.81226,450.6209,888.48517,1294.162,1282.0321,1504.5227,1267.7648,420.88034,905.35474,147.2595,955.02374,9665.223,23505.049,11698.648,29757.797,15491.445,16464.5,120366.766,67207.164,89466.484,89308.27,39807.746,90627.76,45630.035,31958.797,32610.418,31285.201,26082.656,52042.13,31279.695,19796.514,18006.334,27369.426,40516.29,16852.246,17997.775,69353.97,42846.824,41710.086,24345.715,54520.887,30055.777,30712.623,19432.764,22109.887,38399.203,22128.33,18889.959,19346.82,27424.902,24833.732,17372.91,25824.91
"X8429_325.237_4.7",116.684494,97.3958,30.437855,87.24767,0,83.82196,136.7106,79.21678,50.82846,22.457634,26.0332,24.083057,72.71748,52.350513,147.61177,69.865555,116.46393,191.36423,27.623861,164.4453,118.99474,21.70512,65.32133,69.123276,73.56424,34.154205,240.60995,47.647663,37.37993,0,27.467995,72.6835,0,34.79588,32.233315,35.906727,52.57082,46.14277,48.61405,92.31839,16.081741,201.31543,4603.029,11806.262,3985.2903,12415.049,24293.602,17856.178,23513.547,41351.05,36716.434,17503.61,59320.13,121161.3,28772.74,11524.331,16812.203,12580.338,46014.78,49760.72,7105.4663,15284.495,7317.8076,6520.582,13924.017,17534.445,5313.124,23743.424,12822.629,10768.089,4210.1143,12491.095,12616.153,5745.574,9593.341,12814.206,25410.06,19741.564,4909.6313,3143.48,8165.902,8107.7715,8385.755,13021.279
"X9433_325.237_5.143",679.70135,682.4973,496.7656,2532.6057,994.7899,888.8379,278.15186,789.3356,1667.278,1169.8787,368.41653,262.30252,230.63573,857.8735,445.0441,789.5363,257.46674,352.4487,173.22905,384.81235,192.84032,233.67046,306.25082,266.21097,1430.549,180.71066,1468.287,1168.3383,409.1072,318.1264,1357.9424,227.31033,113.84614,954.67267,1313.4191,514.84375,455.57077,294.26712,444.54016,501.44492,62.2185,857.91064,5559.3657,10274.6045,3689.6265,12736.459,25447.484,17775.031,23382.057,17557.168,10791.66,15118.084,29925.316,38579.008,62461.344,31822.568,11427.742,35369.832,21919.615,9086.433,14635.469,21468.979,5336.4087,15213.657,3988.1118,10932.164,5290.277,11491.134,5381.919,14222.789,6689.3623,19348.488,11892.741,8193.37,4770.3574,8403.169,32304.273,25145.795,8711.338,1101.4519,2732.9336,7427.2144,6451.941,2336.8157
"X10317_325.237_5.613",29.55096,42.671883,0,13.794581,0,0,0,39.68907,34.1976,29.346943,36.780678,0,86.3364,59.467033,23.584045,51.007492,0,13.702539,0,0,0,0,183.7882,21.17556,28.179874,0,105.96118,53.47661,49.479866,0,49.609814,52.988914,0,81.61539,75.68475,59.53279,137.85938,44.245667,43.55671,0,0,25.070545,714.6618,1120.0403,677.63654,1882.2606,6780.543,2375.4255,11478.903,5904.006,17873.137,3318.877,12670.7705,3441.3525,2231.8125,3382.6753,2640.8362,3669.5488,1132.5206,4881.569,2018.5887,2086.3906,1792.0376,2069.4546,1086.5782,1910.0518,1543.4017,2508.955,1257.2666,5614.3086,1998.9792,1717.5679,1949.351,2110.1147,1523.4384,1768.62,4533.7314,2453.2231,452.8766,1258.6459,1254.9646,1528.0126,1296.3206,1301.4115
