ID1,ID2,EdgeType,Score,Annotation
1839,1856,MS1 annotation,5.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0366
1839,1853,MS1 annotation,5.000,[M+Na]+ [M+NH4]+ dm/z=4.9560
1842,1853,MS1 annotation,5.000,[M+Na]+ [M+H]+ dm/z=21.9822
1842,1853,MS1 annotation,5.000,[M+Na]+ [2M+2H]+2 dm/z=21.9822
1853,1856,MS1 annotation,5.000,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.9925
1853,1869,MS1 annotation,5.000,[M-2H2O+H]+ [M+Na]+ dm/z=58.0034
1924,1941,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9817
1948,1953,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9824
1967,1980,MS1 annotation,2.000,[2M-2H2O+K]+ [M+NH4]+ dm/z=184.0160
1981,1984,MS1 annotation,2.000,[M+Na]+ [M-2H2O+H]+ dm/z=58.0032
2074,2080,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
2168,2174,MS1 annotation,2.000,[2M+2H]+2 [M+Na]+ dm/z=21.9826
2316,2343,MS1 annotation,2.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0373
2317,2345,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
2350,2367,MS1 annotation,3.000,[2M+2H]+2 [M+Na]+ dm/z=21.9828
2350,2355,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9562
2355,2367,MS1 annotation,3.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0266
2363,2372,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0264
2440,2442,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
2469,2533,MS1 annotation,2.000,[M-2H2O+H]+ [M+Na]+ dm/z=58.0033
2605,2613,MS1 annotation,2.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9930
2920,2921,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9551
3009,3018,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0265
3048,3055,MS1 annotation,4.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0373
3048,3057,MS1 annotation,4.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9924
3049,3055,MS1 annotation,4.000,[M+NH4]+ [M+H]+ dm/z=17.0274
3049,3057,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9825
3055,3057,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9552
3082,3122,MS1 annotation,2.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9930
3155,3159,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9558
3262,3284,MS1 annotation,2.000,[M-2H2O+H]+ [M+Na]+ dm/z=58.0041
3295,3304,MS1 annotation,2.000,[M-2H2O+H]+ [M+Na]+ dm/z=58.0035
3488,3494,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0265
3571,3575,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9820
3576,3594,MS1 annotation,2.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0367
3576,3594,MS1 annotation,2.000,[M+NH4]+ [2M-2H2O+2H]+2 dm/z=35.0367
