row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,bld_plt2_blk_04.mzML Peak area,skin_07_0_UB.mzML Peak area,skin_01_120_UB.mzML Peak area,skin_07_600_UB.mzML Peak area,skin_10_240_UB.mzML Peak area,skin_07_240_UB.mzML Peak area,skin_10_480_UB.mzML Peak area,skin_10_0_UB.mzML Peak area,skin_05_720_UB.mzML Peak area,skin_07_480_UB.mzML Peak area,skin_10_120_UB.mzML Peak area,skin_10_600_UB.mzML Peak area,skin_07_720_UB.mzML Peak area,bld_plt2_10_480_1.mzML Peak area,skin_05_600_UB.mzML Peak area,bld_plt2_03_240_1.mzML Peak area,bld_plt2_04_120_1.mzML Peak area,skin_05_480_UB.mzML Peak area,bld_plt2_07_480_1.mzML Peak area,skin_05_240_UB.mzML Peak area,bld_plt1_10_120_1.mzML Peak area,skin_01_0_UB.mzML Peak area,skin_01_240_UB.mzML Peak area,skin_01_600_UB.mzML Peak area,bld_plt1_blk_02.mzML Peak area,skin_05_120_UB.mzML Peak area,bld_plt2_07_720_1.mzML Peak area,bld_plt1_08_600_1.mzML Peak area,bld_plt2_10_240_1.mzML Peak area,bld_plt2_08_480_1.mzML Peak area,bld_plt2_08_120_1.mzML Peak area,bld_plt2_03_720_1.mzML Peak area,skin_03_480_UB.mzML Peak area,bld_plt1_10_0_1.mzML Peak area,skin_07_120_UB.mzML Peak area,skin_01_480_UB.mzML Peak area,skin_04_600_UB.mzML Peak area,skin_05_0_UB.mzML Peak area,skin_04_0_UB.mzML Peak area,bld_plt2_05_720_1.mzML Peak area,bld_plt2_04_0_1.mzML Peak area,bld_plt1_08_720_1.mzML Peak area,bld_plt2_07_0_1.mzML Peak area,bld_plt1_07_240_1.mzML Peak area,bld_plt1_07_120_1.mzML Peak area,bld_plt1_04_600_1.mzML Peak area,bld_plt2_05_0_1.mzML Peak area,bld_plt1_08_240_1.mzML Peak area,bld_plt1_04_240_1.mzML Peak area,skin_01_720_UB.mzML Peak area,skin_04_720_UB.mzML Peak area,skin_04_480_UB.mzML Peak area,skin_04_240_UB.mzML Peak area,skin_04_120_UB.mzML Peak area,skin_03_600_UB.mzML Peak area,skin_blank_03.mzML Peak area,bld_plt1_03_600_1.mzML Peak area,bld_plt1_03_0_1.mzML Peak area,bld_plt1_03_480_1.mzML Peak area,bld_plt1_07_600_1.mzML Peak area,bld_plt2_03_120_1.mzML Peak area,bld_plt1_04_480_1.mzML Peak area,bld_plt1_01_0_1.mzML Peak area,bld_plt2_01_480_1.mzML Peak area,bld_plt1_10_600_1.mzML Peak area,bld_plt2_05_120_1.mzML Peak area,bld_plt2_04_720_1.mzML Peak area,bld_plt1_05_480_1.mzML Peak area,bld_plt2_10_720_1.mzML Peak area,bld_plt2_08_0_1.mzML Peak area,skin_03_720_UB.mzML Peak area,skin_blank_20.mzML Peak area,bld_plt1_01_600_1.mzML Peak area,bld_plt1_01_120_1.mzML Peak area,bld_plt1_01_720_1.mzML Peak area,bld_plt1_05_240_1.mzML Peak area,bld_plt1_05_600_1.mzML Peak area,bld_plt2_01_240_1.mzML Peak area,skin_08_240_UB.mzML Peak area,skin_08_480_UB.mzML Peak area,skin_08_0_UB.mzML Peak area,skin_08_720_UB.mzML Peak area,skin_10_720_UB.mzML Peak area,skin_08_120_UB.mzML Peak area,skin_03_120_UB.mzML Peak area,skin_03_240_UB.mzML Peak area,skin_03_0_UB.mzML Peak area,skin_08_600_UB.mzML Peak area,
12320,540.4477610375636,6.4022346,,,,,,,,,,,34.592857,7110.1885,3004.7134,16538.2,3766.6108,15038.291,3993.658,0,83572.43,10700.711,4852.503,8164.169,64427.133,611.7593,5874.551,164.38478,297.73862,8386.574,151.45377,8681.388,39.484337,5584.241,5841.053,5150.221,35.96373,5909.8325,397.13025,818.70184,546.7163,2058.6196,1857.4602,1961.3768,7329.329,157.23581,5542.742,67693.59,15675.199,21619.557,119643.55,101.38196,418.89557,244.32181,294.97787,261.9016,343.64047,1493.1113,0,1811.769,327.1094,5302.761,10146.377,8672.902,21635.438,31777.73,13059.914,85.162224,168.84128,463.27603,201.87225,241.5018,1643.621,944.5187,984.88007,986.7846,669.28766,730.8911,1108.4662,0,2030.1356,1822.1403,7551.4814,88.154335,315.60132,422.24942,846.55176,0,1472.9746,3005.2185,20565.885,13039.059,31814.383,16969.967,5468.645,3986.0464,8230.889,17378.088,35619.11,40215.4,
11059,540.4489864482198,5.868456,,,,,,,,,,,0,4511.761,2789.1433,4822.4663,2625.8374,9596.812,2890.9324,8705.646,1399.5698,11627.437,5245.748,9625.424,3265.9019,0,1804.9802,0,0,4533.0195,0,5259.516,0,5375.9634,5529.007,7560.374,0,5950.7,0,0,0,0,57.80113,0,3562.522,0,8745.314,7943.916,11216.045,15141.488,93788.016,0,0,0,0,0,0,0,0,0,0,9527.665,4393.1733,10039.281,17285.896,48913.53,19152.281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7114.417,0,0,0,0,0,0,97.0508,21270.965,5600.1753,4467.054,37065.883,6139.543,21513.523,10809.365,25282.646,30057.943,64130.96,
10307,540.4492682619612,5.6096106,,,,,,,,,,,0,61631.402,266.70926,360.433,253.74359,1649.2751,293.35297,4936.067,0,0,874.7871,4471.1196,0,0,0,0,0,0,0,454.3888,0,134.0062,227.54724,265.7497,0,422.70483,0,0,0,0,0,0,0,0,0,0,0,631.28357,0,0,0,0,0,0,0,0,0,0,0,0,0,452.27942,909.2316,496.72595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701.0851,0,0,0,2713.6877,0,0,810.00287,427.3724,312.3487,
14611,540.4626691314921,7.661937,,,,,,,,,,,0,0,1513.4362,480.44427,1945.1213,365.59036,2047.3488,380.54584,75.617584,56.23375,1835.4827,140.257,675.9365,0,230.86905,0,0,121.64008,0,1223.7937,0,226.52591,542.2146,1023.5722,0,893.61584,0,0,0,0,0,0,113.02942,0,27.273052,689.7287,226.94391,1082.7229,0,0,0,0,0,0,0,0,0,0,0,1875.8646,3842.7202,119.025055,3391.8225,407.9333,1537.2451,0,0,0,0,0,0,0,0,0,0,0,0,0,156.545,65.97415,4760.078,0,0,0,0,0,0,0,1748.2343,762.15845,1008.43646,502.23978,1363.8137,221.19423,2066.2686,450.98117,61.062046,0,
14052,540.4635316218582,7.112842,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1263.0757,0,12.120788,0,0,0,0,0,756.0023,1771.5837,1259.1497,1466.4314,5571.1665,3090.2727,0,397.01987,0,0,0,0,0,0,424.17755,318.3049,1094.2202,79.951965,1039.8706,790.9349,2447.7888,1289.5117,449.76196,0,0,0,0,0,0,0,274.5691,907.31384,344.678,570.02234,901.95624,3279.4272,1767.5156,1277.1125,1420.9877,3858.4058,6605.43,4759.995,6935.821,8931.821,0,0,1526.5142,3656.0054,164.92926,2732.6235,3255.8157,8676.259,0,0,0,0,0,0,0,0,0,0,
10446,540.8552178641805,5.6466413,,,,3,,,,,,,0,1063.153,6598.145,1494.5054,953.98785,2032.7583,2781.9053,1559.8127,7360.6113,1885.6407,1624.7225,2344.129,3032.8943,0,7772.991,0,0,12960.547,0,6046.396,0,5025.7153,4810.591,7111.396,0,6903.326,0,0,0,0,0,0,8521.044,0,4406.76,6940.419,8824.635,10233.102,6307.828,0,0,0,0,0,0,0,0,0,0,6637.631,8342.397,10395.209,7380.206,5888.1514,9234.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6446.5913,0,0,0,0,0,0,0,2498.7012,2272.6208,3228.8357,3521.786,2779.5642,2847.7214,11626.929,5848.1167,7586.276,3140.919,
11797,540.9037865963112,6.174767,,,,,,,,,,,297.67377,34672.914,0,331.89764,0,732.4314,0,0,0,394.46118,0,0,0,0,0,13.386564,0,0,0,0,0,0,0,0,28.162134,0,0,0,0,0,294.50046,54.122917,0,47.13952,651.74066,0,0,0,0,11.348555,0,107.01011,0,238.07693,65.516,25.729387,0,142.33798,0,0,0,0,0,0,0,0,0,0,0,289.04303,31.846428,81.3467,0,0,0,92.88377,0,0,0,24.509134,0,0,34.227283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1622,541.0565556958572,2.4495895,,,,184,39,[2M+H]+,,3,1605;1626;1622,270.0247,4979.736,0,2664.817,894.63196,537.6714,1588.8153,1638.0919,3188.8894,866.667,6959.8174,664.7282,1642.5841,0,6138.3076,712.48914,7389.0737,4774.3726,2449.0679,4276.186,0,7156.5215,5206.336,1856.7758,5807.1006,7402.2285,1415.4175,4684.437,10419.312,5381.0186,6280.2505,10179.399,10988.068,0,12072.985,12545.498,921.3103,0,755.9546,476.3792,5446.6807,10557.831,7487.2153,8022.4507,7743.4707,12913.087,11188.181,6208.1216,9247.543,14093.996,2414.9827,1463.5852,1255.3882,1146.0833,1922.8064,2062.5957,5537.373,9098.178,14734.755,8625.369,10490.277,7967.747,16724.178,15232.224,4663.4624,8685.402,8280.306,7064.9717,11023.321,8383.202,8219.825,687.73706,6562.5146,8280.847,13186.185,7811.5776,13390.057,8324.729,11679.402,0,1926.4375,619.45715,808.0469,1705.2695,6028.6953,3896.876,0,0,3332.3518,
2034,541.1900774296174,2.5949311,,,,14,,,,,,,0,13749.963,20235.188,14856.725,14546.721,17342.512,18490.004,19722.713,23645.691,18288.145,15808.082,18810.963,18970.387,0,20294.723,0,0,24556.12,0,16756.717,0,30180.195,14292.506,22188.607,0,18014.797,0,0,0,0,0,0,20054.781,0,21172.443,18420.2,22231.955,20294.621,19466.102,0,0,0,0,0,0,0,0,0,0,21662.266,24531.943,23988.521,17979.146,20737.438,23017.943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20574.967,0,0,0,0,0,0,0,19145.574,17662.564,19467.793,21429.791,21647.438,22426.941,26122.67,21698.857,17507.469,27683.184,
2437,541.1916431284202,2.7317257,,,,76,,,,,,,0,9527.503,13951.748,11708.508,14074.826,13615.068,17438.215,12703.528,22613.027,13102.832,11560.82,20021.324,16777.934,0,21933.404,0,0,19453.861,0,18960.018,0,14012.401,13542.797,15550.041,0,18393.742,0,0,0,0,0,0,22121.873,0,22139.969,18786.756,22353.432,19004.947,16957.549,0,0,0,0,0,0,0,0,0,0,18233.248,22467.62,26402.035,20985.2,18356.117,25304.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22667.441,0,0,0,0,0,0,0,14854.009,13688.587,16236.197,16324.356,19851.71,17636.594,23009.785,23642.549,21755.312,13244.932,
