Filename	Sample_Type	Subject	Timepoint_min	Sampling_Location	Comments
skin_08_360_FH.mzXML	skin	Subject_8	360	forehead	
skin_08_360_OF.mzXML	skin	Subject_8	360	forearm	
skin_08_360_UB.mzXML	skin	Subject_8	360	upper back	
skin_08_480_FH.mzXML	skin	Subject_8	480	forehead	
skin_08_480_OF.mzXML	skin	Subject_8	480	forearm	
skin_08_480_UB.mzXML	skin	Subject_8	480	upper back	
skin_08_60_FH.mzXML	skin	Subject_8	60	forehead	
skin_08_60_OF.mzXML	skin	Subject_8	60	forearm	
skin_08_60_UB.mzXML	skin	Subject_8	60	upper back	
skin_08_600_FH.mzXML	skin	Subject_8	600	forehead	
