row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,bld_plt2_05_720_1.mzML Peak area,bld_plt1_blk_02.mzML Peak area,bld_plt1_08_720_1.mzML Peak area,bld_plt1_03_600_1.mzML Peak area,bld_plt2_03_240_1.mzML Peak area,bld_plt1_07_600_1.mzML Peak area,bld_plt1_03_0_1.mzML Peak area,bld_plt1_03_480_1.mzML Peak area,bld_plt1_07_120_1.mzML Peak area,bld_plt1_07_240_1.mzML Peak area,bld_plt1_10_120_1.mzML Peak area,bld_plt1_04_600_1.mzML Peak area,bld_plt1_08_240_1.mzML Peak area,bld_plt1_04_240_1.mzML Peak area,bld_plt1_08_600_1.mzML Peak area,bld_plt1_04_480_1.mzML Peak area,skin_01_0_FH.mzML Peak area,bld_plt2_blk_04.mzML Peak area,bld_plt2_10_480_1.mzML Peak area,bld_plt2_04_120_1.mzML Peak area,bld_plt2_04_0_1.mzML Peak area,bld_plt2_07_0_1.mzML Peak area,bld_plt2_01_480_1.mzML Peak area,bld_plt2_07_720_1.mzML Peak area,bld_plt2_07_480_1.mzML Peak area,bld_plt2_05_0_1.mzML Peak area,bld_plt2_03_120_1.mzML Peak area,bld_plt1_10_600_1.mzML Peak area,bld_plt1_05_240_1.mzML Peak area,bld_plt1_05_600_1.mzML Peak area,bld_plt1_10_0_1.mzML Peak area,bld_plt2_05_120_1.mzML Peak area,bld_plt2_10_240_1.mzML Peak area,bld_plt2_08_480_1.mzML Peak area,bld_plt2_03_720_1.mzML Peak area,bld_plt1_05_480_1.mzML Peak area,bld_plt2_04_720_1.mzML Peak area,bld_plt2_08_120_1.mzML Peak area,bld_plt2_01_240_1.mzML Peak area,skin_07_120_FH.mzML Peak area,skin_07_0_FH.mzML Peak area,skin_01_240_FH.mzML Peak area,skin_05_720_FH.mzML Peak area,skin_01_120_FH.mzML Peak area,skin_04_0_FH.mzML Peak area,skin_blank_03.mzML Peak area,skin_01_720_FH.mzML Peak area,skin_blank_20.mzML Peak area,skin_01_480_FH.mzML Peak area,bld_plt2_10_720_1.mzML Peak area,bld_plt2_08_0_1.mzML Peak area,skin_01_600_FH.mzML Peak area,skin_05_240_FH.mzML Peak area,skin_04_120_FH.mzML Peak area,skin_04_240_FH.mzML Peak area,skin_05_120_FH.mzML Peak area,skin_03_120_FH.mzML Peak area,skin_03_240_FH.mzML Peak area,skin_03_600_FH.mzML Peak area,bld_plt1_01_0_1.mzML Peak area,skin_03_480_FH.mzML Peak area,skin_03_0_FH.mzML Peak area,skin_07_480_FH.mzML Peak area,skin_07_600_FH.mzML Peak area,skin_07_720_FH.mzML Peak area,skin_08_480_FH.mzML Peak area,skin_08_720_FH.mzML Peak area,skin_08_240_FH.mzML Peak area,skin_03_720_FH.mzML Peak area,skin_04_720_FH.mzML Peak area,skin_04_480_FH.mzML Peak area,bld_plt1_01_120_1.mzML Peak area,bld_plt1_01_600_1.mzML Peak area,bld_plt1_01_720_1.mzML Peak area,skin_10_240_FH.mzML Peak area,skin_10_600_FH.mzML Peak area,skin_08_120_FH.mzML Peak area,skin_10_720_FH.mzML Peak area,skin_08_0_FH.mzML Peak area,skin_10_120_FH.mzML Peak area,skin_07_240_FH.mzML Peak area,skin_05_600_FH.mzML Peak area,skin_10_0_FH.mzML Peak area,skin_05_480_FH.mzML Peak area,skin_05_0_FH.mzML Peak area,skin_04_600_FH.mzML Peak area,skin_10_480_FH.mzML Peak area,skin_08_600_FH.mzML Peak area,
7011,512.2679086733591,4.111877,,,,,,,,,,,110.44398,0,834.95166,2954.5518,1249.6746,2221.8367,428.54395,1205.6952,1648.8569,2138.748,1576.5164,47.106697,0,870.30646,257.82397,425.081,0,0,859.5203,2127.0588,630.31555,312.02127,930.6901,903.9519,318.79984,1493.2328,3494.7131,2229.7026,716.12256,1872.2233,179.92786,4291.0337,10044.832,1662.249,4390.4873,693.8675,0,1771.0985,2047.5167,0,0,0,0,0,0,0,0,0,0,1226.0754,0,0,0,0,0,0,0,0,0,421.66916,0,0,0,0,0,0,0,0,0,0,0,429.0464,471.81216,619.8187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6693,512.2679219000375,4.0698996,,,,,,,,,,,0,0,1573.2023,4903.0894,683.8526,2981.4536,3342.1824,6958.7935,4290.571,4036.9177,9497.739,5017.146,1831.838,6762.7217,4419.3267,4122.9404,0,0,50.88742,750.8422,0,0,324.83502,63.3123,0,550.58844,3380.2937,5040.1245,791.65027,2435.4226,10356.271,3481.855,2867.0278,1662.249,3424.3345,693.8675,0,919.53937,514.0902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1086.9899,0,0,0,0,0,0,0,0,0,0,0,429.0464,1031.1245,2996.6223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6801,512.3346609701557,4.0756626,,,,,,,,,,,0,0,0,333.5292,0,0,2030.2799,0,0,0,0,23.61727,1027.3489,0,703.0641,400.35046,0,0,0,0,0,0,228.60507,0,0,663.5627,1656.9095,138.68423,0,2558.3254,43.447784,1167.8925,0,460.05417,2095.5342,5365.3003,0,0,2790.1223,0,0,0,0,0,0,0,0,0,0,5733.9937,886.53314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882.25745,212.87129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12740,512.3616171126721,6.302617,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.92244,135.03452,1847.7823,0,876.74176,0,0,69746.7,0,135754.77,0,0,211837.97,142.84225,0,0,0,373.5891,293.7607,0,0,0,0,50.800934,0,180.78867,115.106026,53.089558,86.13153,100.93761,206.11063,254.04578,0,0,0,135.43384,142.6496,41.647545,113.56084,0,87.46051,76.16675,599.9448,0,411.94788,0,298.08258,155.90332,0,
10560,512.4160472736727,5.564258,,,,247,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197858.16,29450.066,5008.092,70317.06,35132.977,38667.133,0,18194.154,0,60659.207,0,0,67401.47,39098.426,12953.7295,10667.329,17649.787,98881.99,55763.688,122643.56,0,144554.7,79382.15,154599.84,104598.73,95581.48,25267.998,92393.31,34061.445,81593.43,59728.35,68308.5,0,0,0,29651.99,6214.5127,20326.773,17709.191,117691.53,16834.191,323004.94,68086.59,20177.486,102178.87,80670.54,94301.26,16585.879,62278.758,
11387,512.4163297367459,5.835309,,,,402,,,,,,,469.30273,315.66028,474.93677,200.19772,330.475,439.64618,640.9619,776.8629,650.52826,396.02557,191.22557,1827.1067,2024.2166,566.2712,1524.994,836.0865,20.383442,289.51816,803.17236,592.11096,411.92575,547.58246,955.714,605.9743,250.24048,67.01312,1832.3821,1066.0806,101.235596,1318.7942,728.59503,1298.666,798.8655,2590.8801,2622.11,152.79482,981.9396,2944.268,3105.965,54166.88,201302.39,69907.52,36468.027,49062.6,305270.8,360.5665,125533.57,43.165443,212316.66,2025.7672,1428.8186,165068.97,25634.14,114866.484,207938.36,23396.19,48038.844,54166.246,96052.81,1576.7673,116761.17,215771.33,43597.73,77144.88,66200.3,84257.61,69181.555,76405.43,22587.14,57239.133,76998.81,618.46924,481.22482,1301.3938,84794.766,58153.953,87141.37,69689.3,340256.66,95280.42,111676.13,43726.492,447891.75,72252.86,142874.78,127984.87,59169.543,300746.38,
9697,512.4166317226565,5.1483173,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22357.08,4628.036,23831.373,0,31957.66,114851.07,0,0,0,0,0,0,4388.188,0,0,0,0,0,0,0,0,0,0,110.36017,0,0,1293.5181,0,0,0,0,0,
10344,512.4169797500102,5.4237275,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11645.811,8705.571,7812.0073,18772.32,11621.707,56662.5,0,3579.8179,0,18596.787,0,0,12743.718,16439.713,5220.5645,52770.797,5396.81,4422.5254,3035.3743,17627.043,0,21987.145,10616.032,0,16651.637,5294.051,11436.791,46150.28,37807.043,5098.6987,19056.8,37151.234,0,0,0,2889.2598,2187.0173,46599.9,5015.8354,168890.34,2333.5142,20673.338,38575.043,10115.606,22518.53,51745.65,29398.768,4391.7354,260710.34,
12850,512.4328956589239,6.3132815,,,,,,,,,,,19.79022,0,151.35172,250.34676,61.228172,446.62152,128.34651,143.48294,297.6842,441.66498,82.62743,320.41132,266.3848,296.67715,519.08594,1167.7354,0,0,0,244.83417,798.59784,1420.7489,764.8874,1236.104,1136.0658,1418.8547,724.6618,355.4558,227.73605,1215.876,266.10852,1672.7037,1054.6011,453.95688,1301.7357,672.0417,4882.6777,2680.032,2176.7258,0,0,0,0,0,0,0,0,0,0,3949.6438,4314.1978,0,0,0,0,0,0,0,0,795.04913,0,0,0,0,0,0,0,0,0,0,0,674.4029,248.05026,278.53812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10301,512.8140608652953,5.4006844,,,,,,,,,,,0,0,0,0,0,0,0,0,69.103386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198.2941,0,0,0,0,0,0,0,0,0,0,0,66.81307,0,0,0,0,0,0,0,0,0,0,0,0,946.2532,0,0,0,0,0,0,0,0,0,5721.261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
