formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id	featureId
1	C14H30O8	[M + K]+	C14H30O8	3.3803024088186064	3.3803024088186064	0.0	1	0.0	-1.4186240569080901	1.4186240569080901	-0.4546539247779646		365.15706	129.2	1_example_sirius_1065	1065
1	C12H22O6	[M - H2O + H]+	C12H20O5	145.09555065398695	141.7349176022984	3.360633051688554	36	0.9988451183407285	4.8815464814371845	4.8815464814371845	-73470.58315858054		245.13845	192.7359390068054	2_example_sirius_3847	3847
1	C23H50N11O3P	[M + H]+	C23H50N11O3P	8.906535442647993	5.251483444535434	3.655051998112559	5	0.8924896384381537	5.9823200693731255	5.9823200693731255	-1.6551726887019276		560.38992	337.59273925781247	3_example_sirius_10375	10375
1	C13H19O7P3S5	[M + H]+	C13H19O7P3S5	15.393740284457552	15.393740284457552	0.0	8	0.9519226283229605	2.7627671465275836	2.774404576908943	2.6357938530695066		540.90342	369.49	4_example_sirius_11797	11797
1	C19H21NO3	[M + H]+	C19H21NO3	41.06726777124864	35.52170427310492	5.5455634981437125	16	0.9972898000960575	3.5006751633168482	3.5006751633168482	0.2883651038110181		312.15951	299.7480166163622	5_example_sirius_9065	9065
1	C19H20O7	[M + H]+	C19H20O7	42.95987261368792	39.89674007333417	3.063132540353752	17	0.9810540932816632	1.8936182314177588	2.0284374278661192	0.7769199622179901		361.12846	213.78919921874999	6_example_sirius_5043	5043
1	C28H50NO7P	[M + H]+	C28H50NO7P	3020.020148309857	3013.6394203693553	6.380727940501913	6	1.0000000000000002	9.298150080740237	9.298150080740237	1.054446762893953	PC 20:4	544.34034	301.65718749999996	7_example_sirius_9154	9154
1	C21H34O7	[M + H]+	C21H34O7	32.65629077591633	30.59180705879723	2.064483717119102	7	0.6257755893106249	6.997439491977348	6.997439491977348	6.963521586172956		399.24051	317.37625	8_example_sirius_9747	9747
1	C16H24O9	[M + Na]+	C16H24O9	6.7887217572874485	3.4268959215429904	3.361825835744458	1	0.0	0.8846879677258882	0.8846879677258882	0.5662596953077859		383.13147	59.401492309570315	9_example_sirius_439	439
1	C22H30O6	[M + H]+	C22H30O6	9.625038998257889	9.625038998257889	0.0	2	1.0	-1.268074168202493	1.268074168202493	-2.288107849766283		391.21062	210.875	10_example_sirius_4858	4858
1	C26H53N11O5	[M + H]+	C26H53N11O5	1.3759725841450927	1.3759725841450927	0.0	2	1.0	12.459567180224914	12.459567180224914	1.6983653627298365		600.43141	459.7825	11_example_sirius_14603	14603
1	C22H46O4	[M + Na]+	C22H46O4	9.398028599220446	3.4310124510187423	5.9670161482017035	1	0.0	0.8364548601670309	0.8364548601670309	1.0554166588167577		397.32925	428.39484375	12_example_sirius_14063	14063
1	C16H30O3S	[M + H]+	C16H30O3S	25.206387238284716	25.206387238284716	0.0	10	1.0	7.116831559872996	7.116831559872996	-1.4257069832579747		303.19841	291.76	13_example_sirius_8873	8873
1	C16H28O5	[M + H]+	C16H28O5	108.8112089037215	108.8112089037215	0.0	25	0.9596585395287325	4.576811972143148	4.576811972143148	-0.6322961818118719		301.20076	238.485	14_example_sirius_6308	6308
1	C22H32O2	[M + H]+	C22H32O2	61.92501852992646	56.11609647181349	5.808922058112972	27	0.9825723699598926	5.115859242124488	5.115859242124488	2.3486346215555125		329.24828	383.7283312988281	15_example_sirius_12369	12369
1	C22H46O5	[M + H]+	C22H46O5	59.940288408414915	53.91995415090327	6.020334257511644	12	0.9800116564423718	6.737286131406362	6.737286131406362	0.6362104697705824		391.34205	362.70260141000153	16_example_sirius_11597	11597
1	C28H42O8	[M + Na]+	C28H42O8	3.9809803038379186	3.438027137848466	0.5429531659894526	1	0.0	0.7538499997158054	0.7538499997158054	1.418906500184904		529.27794	409.46500000000003	17_example_sirius_13349	13349
1	C19H22O7	[M - H2O + H]+	C19H20O6	38.69364925066009	36.170663973419295	2.5229852772407937	16	0.6582431042735281	2.500856447202554	2.500856447202554	-52183.2949687443		345.13362	223.6699123430252	18_example_sirius_5520	5520
1	C14H16O8	[M + H]+	C14H16O8	62.74587818721825	60.51878801719903	2.2270901700192205	29	0.9724980746751943	5.196663863586756	5.196663863586756	-0.39580768958380785		313.09167	188.3834571033716	19_example_sirius_3671	3671
1	C11H6O25	[M + K]+	C11H6O25	3.5	3.5	0.0	1	0.0	NaN	NaN	1.1375048196716997		576.88363	356.855	20_example_sirius_11288	11288
1	C15H21N3O2	[M + H]+	C15H21N3O2	14.764143674837246	11.80476466760779	2.9593790072294563	3	0.8636186034017509	3.878723392036932	3.878723392036932	-1.2070960069950187		276.17032	187.305	21_example_sirius_3605	3605
1	C30H58N2O6	[M + H]+	C30H58N2O6	31.057503530369935	24.40651396290874	6.650989567461197	12	0.9945002793873381	6.417777340138571	6.417777340138571	-0.33863765764510023		543.43658	311.27	22_example_sirius_9479	9479
1	C52H72O5	[M + H]+	C52H72O5	4.173044645589345	4.173044645589345	0.0	3	1.0	4.904719207237383	4.904719207237383	-0.4267998953645534		777.54492	389.7425	23_example_sirius_12692	12692
1	C18H34O5	[M - H2O + H]+	C18H32O4	48.44061870551498	48.44061870551498	0.0	11	0.9274491374397935	6.165231609222681	6.165231609222681	-57497.14885817032		313.23763	267.9125	24_example_sirius_7798	7798
